time,open,high,low,close,volumn
2024-11-13 00:26:00,3242.86,3248.62,3242.11,3248.44,
2024-11-13 00:27:00,3248.44,3250.0,3246.71,3247.96,
2024-11-13 00:28:00,3247.96,3252.16,3247.15,3252.16,
2024-11-13 00:29:00,3252.16,3254.08,3249.08,3251.48,
2024-11-13 00:30:00,3251.48,3256.16,3250.26,3253.93,
2024-11-13 00:31:00,3253.93,3256.86,3251.77,3255.16,
2024-11-13 00:32:00,3255.16,3257.43,3253.88,3255.36,
2024-11-13 00:33:00,3255.36,3260.06,3254.42,3259.35,
2024-11-13 00:34:00,3259.35,3260.29,3249.91,3250.08,
2024-11-13 00:35:00,3250.08,3253.32,3244.01,3247.96,
2024-11-13 00:36:00,3247.96,3253.95,3242.17,3253.27,
2024-11-13 00:37:00,3253.27,3260.66,3248.75,3258.99,
2024-11-13 00:38:00,3258.99,3264.5,3257.89,3263.83,
2024-11-13 00:39:00,3263.83,3265.54,3262.46,3263.5,
2024-11-13 00:40:00,3263.5,3264.34,3258.3,3262.08,
2024-11-13 00:41:00,3262.08,3263.28,3257.35,3258.31,
2024-11-13 00:42:00,3258.31,3260.0,3253.09,3255.47,
2024-11-13 00:43:00,3255.47,3260.8,3254.75,3260.59,
2024-11-13 00:44:00,3260.59,3262.1,3257.95,3260.77,
2024-11-13 00:45:00,3260.77,3264.64,3259.54,3264.4,
2024-11-13 00:46:00,3264.4,3264.86,3261.0,3263.25,
2024-11-13 00:47:00,3263.25,3263.57,3259.07,3260.88,
2024-11-13 00:48:00,3260.88,3262.4,3258.67,3259.68,
2024-11-13 00:49:00,3259.68,3260.33,3254.29,3260.01,
2024-11-13 00:50:00,3260.01,3265.99,3256.94,3265.65,
2024-11-13 00:51:00,3265.65,3267.4,3263.02,3263.38,
2024-11-13 00:52:00,3263.38,3263.81,3260.39,3260.83,
2024-11-13 00:53:00,3260.83,3261.4,3252.34,3253.34,
2024-11-13 00:54:00,3253.34,3256.2,3251.93,3254.64,
2024-11-13 00:55:00,3254.64,3257.08,3250.37,3256.69,
2024-11-13 00:56:00,3256.69,3259.76,3252.14,3252.15,
2024-11-13 00:57:00,3252.15,3252.23,3245.54,3247.93,
2024-11-13 00:58:00,3247.93,3251.0,3244.68,3249.86,
2024-11-13 00:59:00,3249.86,3252.3,3248.78,3249.02,
2024-11-13 01:00:00,3249.02,3249.52,3240.8,3240.92,
2024-11-13 01:01:00,3240.92,3245.27,3239.66,3241.39,
2024-11-13 01:02:00,3241.39,3247.11,3239.66,3245.53,
2024-11-13 01:03:00,3245.53,3251.39,3245.23,3251.39,
2024-11-13 01:04:00,3251.39,3254.91,3246.86,3252.12,
2024-11-13 01:05:00,3252.12,3256.53,3251.18,3255.86,
2024-11-13 01:06:00,3255.86,3261.34,3255.35,3259.04,
2024-11-13 01:07:00,3259.04,3263.24,3259.04,3260.35,
2024-11-13 01:08:00,3260.35,3261.42,3257.22,3260.7,
2024-11-13 01:09:00,3260.7,3267.81,3259.74,3267.07,
2024-11-13 01:10:00,3267.07,3272.7,3263.69,3272.42,
2024-11-13 01:11:00,3272.42,3273.43,3267.95,3273.03,
2024-11-13 01:12:00,3273.03,3275.87,3270.9,3274.67,
2024-11-13 01:13:00,3274.67,3274.78,3268.15,3272.62,
2024-11-13 01:14:00,3272.62,3275.5,3271.93,3273.83,
2024-11-13 01:15:00,3273.83,3275.62,3267.26,3267.8,
2024-11-13 01:16:00,3267.8,3274.08,3266.18,3267.74,
2024-11-13 01:17:00,3267.74,3273.62,3264.48,3264.48,
2024-11-13 01:18:00,3264.48,3269.31,3262.64,3267.39,
2024-11-13 01:19:00,3267.39,3270.3,3263.0,3263.3,
2024-11-13 01:20:00,3263.3,3263.9,3255.22,3257.39,
2024-11-13 01:21:00,3257.39,3260.53,3252.2,3252.9,
2024-11-13 01:22:00,3252.9,3253.21,3248.84,3249.19,
2024-11-13 01:23:00,3249.19,3253.48,3247.12,3252.04,
2024-11-13 01:24:00,3252.04,3252.94,3247.34,3252.52,
2024-11-13 01:25:00,3252.52,3258.7,3249.9,3258.52,
2024-11-13 01:26:00,3258.52,3267.39,3255.73,3267.3,
2024-11-13 01:27:00,3267.3,3270.53,3264.71,3266.24,
2024-11-13 01:28:00,3266.24,3266.42,3256.95,3258.87,
2024-11-13 01:29:00,3258.87,3273.0,3258.74,3272.79,
2024-11-13 01:30:00,3272.79,3277.23,3270.78,3273.7,
2024-11-13 01:31:00,3273.7,3273.97,3260.75,3265.3,
2024-11-13 01:32:00,3265.3,3270.19,3263.76,3267.5,
2024-11-13 01:33:00,3267.5,3275.72,3263.66,3271.66,
2024-11-13 01:34:00,3271.66,3274.33,3266.06,3266.38,
2024-11-13 01:35:00,3266.38,3268.11,3262.61,3263.89,
2024-11-13 01:36:00,3263.89,3267.09,3262.03,3264.28,
2024-11-13 01:37:00,3264.28,3267.29,3260.65,3265.49,
2024-11-13 01:38:00,3265.49,3268.87,3261.66,3268.52,
2024-11-13 01:39:00,3268.52,3279.76,3267.61,3279.04,
2024-11-13 01:40:00,3279.04,3279.91,3274.52,3275.93,
2024-11-13 01:41:00,3275.93,3275.93,3268.37,3272.19,
2024-11-13 01:42:00,3272.19,3272.36,3266.22,3270.28,
2024-11-13 01:43:00,3270.28,3271.38,3266.91,3269.27,
2024-11-13 01:44:00,3269.27,3274.15,3269.15,3273.35,
2024-11-13 01:45:00,3273.35,3279.43,3270.25,3272.45,
2024-11-13 01:46:00,3272.45,3283.01,3272.37,3282.22,
2024-11-13 01:47:00,3282.22,3284.34,3279.76,3279.77,
2024-11-13 01:48:00,3279.77,3284.22,3277.34,3283.64,
2024-11-13 01:49:00,3283.64,3285.21,3280.27,3283.76,
2024-11-13 01:50:00,3283.76,3285.52,3280.23,3282.76,
2024-11-13 01:51:00,3282.76,3285.0,3280.55,3280.55,
2024-11-13 01:52:00,3280.55,3281.73,3274.21,3276.13,
2024-11-13 01:53:00,3276.13,3279.64,3273.83,3275.55,
2024-11-13 01:54:00,3275.55,3277.83,3273.31,3277.42,
2024-11-13 01:55:00,3277.42,3277.69,3274.02,3274.42,
2024-11-13 01:56:00,3274.42,3275.0,3271.06,3272.38,
2024-11-13 01:57:00,3272.38,3273.83,3269.87,3270.19,
2024-11-13 01:58:00,3270.19,3272.08,3267.7,3269.83,
2024-11-13 01:59:00,3269.83,3272.03,3268.01,3270.9,
2024-11-13 02:00:00,3270.9,3276.12,3269.98,3274.91,
2024-11-13 02:01:00,3274.91,3275.61,3269.45,3272.6,
2024-11-13 02:02:00,3272.6,3272.77,3265.69,3267.3,
2024-11-13 02:03:00,3267.3,3271.32,3266.45,3269.7,
2024-11-13 02:04:00,3269.7,3274.47,3268.93,3272.95,
2024-11-13 02:05:00,3272.95,3274.06,3270.06,3273.9,
2024-11-13 02:06:00,3273.9,3274.99,3271.81,3272.26,
2024-11-13 02:07:00,3272.26,3273.7,3268.95,3269.5,
2024-11-13 02:08:00,3269.5,3270.0,3267.34,3268.72,
2024-11-13 02:09:00,3268.72,3270.0,3266.87,3267.27,
2024-11-13 02:10:00,3267.27,3268.77,3260.0,3265.6,
2024-11-13 02:11:00,3265.6,3266.78,3264.48,3266.16,
2024-11-13 02:12:00,3266.16,3266.56,3259.69,3259.9,
2024-11-13 02:13:00,3259.9,3260.0,3257.26,3257.93,
2024-11-13 02:14:00,3257.93,3259.6,3256.37,3257.35,
2024-11-13 02:15:00,3257.35,3257.78,3253.64,3253.88,
2024-11-13 02:16:00,3253.88,3254.06,3239.04,3245.28,
2024-11-13 02:17:00,3245.28,3245.28,3230.0,3235.38,
2024-11-13 02:18:00,3235.38,3235.91,3218.79,3229.99,
2024-11-13 02:19:00,3229.99,3230.0,3225.17,3225.84,
2024-11-13 02:20:00,3225.84,3230.0,3223.66,3224.36,
2024-11-13 02:21:00,3224.36,3227.07,3223.01,3225.15,
2024-11-13 02:22:00,3225.15,3225.15,3217.64,3221.2,
2024-11-13 02:23:00,3221.2,3221.85,3216.93,3216.93,
2024-11-13 02:24:00,3216.93,3220.0,3213.76,3215.29,
2024-11-13 02:25:00,3215.29,3219.91,3213.46,3217.46,
2024-11-13 02:26:00,3217.46,3220.0,3214.98,3219.16,
2024-11-13 02:27:00,3219.16,3227.31,3219.0,3223.7,
2024-11-13 02:28:00,3223.7,3228.04,3223.39,3227.18,
2024-11-13 02:29:00,3227.18,3228.75,3223.42,3223.64,
2024-11-13 02:30:00,3223.64,3225.0,3222.55,3224.96,
2024-11-13 02:31:00,3224.96,3225.0,3218.17,3222.38,
2024-11-13 02:32:00,3222.38,3222.53,3216.3,3216.3,
2024-11-13 02:33:00,3216.3,3217.77,3212.43,3213.11,
2024-11-13 02:34:00,3213.11,3214.19,3210.0,3212.32,
2024-11-13 02:35:00,3212.32,3212.36,3203.2,3206.51,
2024-11-13 02:36:00,3206.51,3213.99,3205.91,3212.68,
2024-11-13 02:37:00,3212.68,3223.23,3212.68,3220.0,
2024-11-13 02:38:00,3220.0,3223.88,3218.83,3223.08,
2024-11-13 02:39:00,3223.08,3225.47,3220.93,3223.43,
2024-11-13 02:40:00,3223.43,3225.0,3221.8,3225.0,
2024-11-13 02:41:00,3225.0,3232.56,3223.61,3229.43,
2024-11-13 02:42:00,3229.43,3231.23,3228.41,3229.74,
2024-11-13 02:43:00,3229.74,3233.47,3228.85,3229.68,
2024-11-13 02:44:00,3229.68,3231.12,3228.03,3231.07,
2024-11-13 02:45:00,3231.07,3232.03,3225.8,3229.98,
2024-11-13 02:46:00,3229.98,3232.19,3223.01,3223.01,
2024-11-13 02:47:00,3223.01,3231.18,3222.91,3229.61,
2024-11-13 02:48:00,3229.61,3234.29,3227.76,3234.29,
2024-11-13 02:49:00,3234.29,3234.99,3231.55,3234.93,
2024-11-13 02:50:00,3234.93,3235.87,3232.94,3233.51,
2024-11-13 02:51:00,3233.51,3237.07,3231.78,3236.13,
2024-11-13 02:52:00,3236.13,3238.53,3234.6,3238.04,
2024-11-13 02:53:00,3238.04,3240.77,3235.31,3240.77,
2024-11-13 02:54:00,3240.77,3240.77,3236.65,3239.53,
