time,open,high,low,close,volumn,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-07 02:42:00,75284.32,75301.99,75242.43,75242.43,16.62228,1730947379999,1251338.8237878,3327,6.36345,479048.2134854,0
2024-11-07 02:43:00,75242.43,75259.81,75202.0,75202.01,28.85253,1730947439999,2170806.0788903,3750,18.55606,1396205.3089347,0
2024-11-07 02:44:00,75202.0,75202.0,75154.19,75165.35,14.03229,1730947499999,1054719.6265411,3089,4.50177,338338.9639827,0
2024-11-07 02:45:00,75165.36,75217.99,75165.35,75194.0,23.60663,1730947559999,1774920.334659,5449,13.62924,1024631.7127787,0
2024-11-07 02:46:00,75194.0,75200.0,75162.0,75171.99,27.24951,1730947619999,2048490.3067338,3319,17.73493,1333113.0225946,0
2024-11-07 02:47:00,75172.0,75209.54,75164.67,75164.68,23.09388,1730947679999,1736439.0833944,3909,11.05633,831248.7936408,0
2024-11-07 02:48:00,75164.68,75198.0,75151.51,75174.01,12.89875,1730947739999,969593.2190971,3160,7.68791,577915.0354256,0
2024-11-07 02:49:00,75174.01,75180.0,75141.51,75178.0,19.50302,1730947799999,1465716.4166102,4121,9.52062,715489.1889535,0
2024-11-07 02:50:00,75178.0,75218.0,75172.9,75195.24,23.44746,1730947859999,1763187.6962396,5041,17.81432,1339570.6541731,0
2024-11-07 02:51:00,75195.24,75195.24,75144.0,75181.81,16.16293,1730947919999,1214942.52639,3861,5.10867,383964.6946346,0
2024-11-07 02:52:00,75181.81,75227.59,75162.0,75210.36,21.71243,1730947979999,1632661.1011196,5900,14.95024,1124125.6049153,0
2024-11-07 02:53:00,75210.37,75212.13,75199.9,75199.91,26.42303,1730948039999,1987142.1397426,2383,5.46497,410990.0061228,0
2024-11-07 02:54:00,75199.91,75242.73,75199.9,75230.97,17.8126,1730948099999,1339795.0550588,3593,14.78319,1111912.0672226,0
2024-11-07 02:55:00,75230.98,75268.0,75212.12,75212.12,42.19666,1730948159999,3174694.4345016,4034,11.75635,884611.8301491,0
2024-11-07 02:56:00,75212.12,75228.0,75206.08,75212.0,22.27377,1730948219999,1675356.3906778,3931,10.50247,789919.3317479,0
2024-11-07 02:57:00,75212.0,75238.0,75200.0,75204.88,34.6382,1730948279999,2605282.9206391,5003,15.16704,1140794.0742547,0
2024-11-07 02:58:00,75204.88,75208.0,75146.0,75208.0,38.48393,1730948339999,2892489.0824936,5344,16.31842,1226526.8349459,0
2024-11-07 02:59:00,75207.99,75314.6,75207.99,75276.01,28.74439,1730948399999,2163872.5845509,7357,24.87483,1872585.0401351,0
2024-11-07 03:00:00,75276.01,75276.01,75158.48,75185.91,19.24243,1730948459999,1447337.3048662,4290,6.05848,455625.9180488,0
2024-11-07 03:01:00,75185.91,75208.0,75146.33,75146.33,12.29451,1730948519999,924336.4067922,4857,6.4259,483139.4980819,0
2024-11-07 03:02:00,75146.33,75147.99,75136.0,75147.99,9.89039,1730948579999,743181.5902797,2287,4.34596,326554.6975026,0
2024-11-07 03:03:00,75147.98,75216.0,75147.98,75176.0,14.0412,1730948639999,1055797.707204,4615,7.23466,543945.790561,0
2024-11-07 03:04:00,75176.01,75205.55,75138.0,75138.01,22.04571,1730948699999,1657216.9591164,4661,9.18398,690256.8344712,0
2024-11-07 03:05:00,75138.0,75138.01,75012.0,75051.21,61.08936,1730948759999,4585478.2749843,7578,27.6363,2073917.2263115,0
2024-11-07 03:06:00,75051.22,75132.0,75051.21,75126.79,30.3485,1730948819999,2279095.8938245,6031,17.02421,1278344.8225491,0
2024-11-07 03:07:00,75126.79,75134.0,75050.51,75056.17,17.30348,1730948879999,1299223.9686949,4816,5.62523,422364.2095101,0
2024-11-07 03:08:00,75056.12,75121.22,75054.48,75094.6,18.06485,1730948939999,1356710.2703826,5081,8.96364,673132.1927365,0
2024-11-07 03:09:00,75094.61,75139.04,75070.0,75139.03,34.76737,1730948999999,2610845.6659787,4519,21.81492,1638185.1693256,0
2024-11-07 03:10:00,75139.03,75220.0,75139.03,75219.99,21.45599,1730949059999,1613279.8877348,3104,17.67446,1328945.6508712,0
2024-11-07 03:11:00,75219.99,75250.0,75219.99,75230.26,27.46752,1730949119999,2066446.4040273,4297,12.19528,917459.8524459,0
2024-11-07 03:12:00,75230.26,75242.43,75154.0,75187.77,18.85093,1730949179999,1417399.3480117,5753,6.23749,468913.534376,0
2024-11-07 03:13:00,75187.76,75220.0,75166.4,75205.99,18.33471,1730949239999,1378626.6504904,5071,8.24711,620100.2391623,0
2024-11-07 03:14:00,75206.0,75206.0,75154.01,75154.02,15.35498,1730949299999,1154312.0188928,4088,2.46924,185601.0611549,0
2024-11-07 03:15:00,75154.02,75232.0,75154.01,75196.01,17.09758,1730949359999,1285655.2626927,5884,10.13212,761766.442219,0
2024-11-07 03:16:00,75196.0,75234.0,75154.01,75154.01,59.04043,1730949419999,4438898.0382534,5368,37.42662,2813709.6120884,0
2024-11-07 03:17:00,75154.02,75154.02,75012.0,75029.98,54.92919,1730949479999,4123599.0868757,6177,19.3674,1453944.1277688,0
2024-11-07 03:18:00,75029.99,75194.98,75029.98,75185.96,27.90576,1730949539999,2096502.7255945,8039,20.00402,1502553.9277024,0
2024-11-07 03:19:00,75185.96,75227.6,75185.96,75208.07,15.45718,1730949599999,1162477.236693,5205,9.0178,678181.2385981,0
2024-11-07 03:20:00,75208.07,75250.0,75208.06,75250.0,21.16583,1730949659999,1592342.1534875,4776,9.13261,687049.0547375,0
2024-11-07 03:21:00,75250.0,75258.0,75211.55,75211.56,25.55904,1730949719999,1922734.5122258,4153,12.6818,953946.8993825,0
2024-11-07 03:22:00,75211.56,75288.0,75211.56,75248.0,20.01797,1730949779999,1506323.199827,6351,10.07414,758034.4265317,0
2024-11-07 03:23:00,75248.0,75286.0,75212.12,75268.0,30.00617,1730949839999,2257763.1997014,4723,8.52818,641653.155217,0
2024-11-07 03:24:00,75268.01,75320.0,75267.45,75308.01,58.84432,1730949899999,4430601.982936,4633,18.06989,1360535.5682468,0
2024-11-07 03:25:00,75308.0,75348.0,75272.72,75339.99,36.93007,1730949959999,2781415.8387491,6020,19.96672,1503831.2170613,0
2024-11-07 03:26:00,75340.0,75340.0,75252.0,75263.4,20.59978,1730950019999,1551080.935667,3419,6.29564,473891.8595874,0
2024-11-07 03:27:00,75263.4,75374.0,75242.42,75340.0,46.02777,1730950079999,3466232.8942588,6831,31.2908,2355931.9626955,0
2024-11-07 03:28:00,75340.0,75392.0,75328.02,75333.34,49.56578,1730950139999,3735059.0431414,5461,29.1016,2192926.1738774,0
2024-11-07 03:29:00,75333.33,75392.67,75322.23,75358.48,15.64461,1730950199999,1179004.3246082,4901,8.03353,605341.3912585,0
2024-11-07 03:30:00,75358.48,75358.48,75292.0,75326.0,23.3806,1730950259999,1761216.2238793,4388,9.23471,695606.8184459,0
2024-11-07 03:31:00,75326.01,75332.67,75272.72,75288.0,16.16174,1730950319999,1217009.5917603,3672,5.7525,433159.5256762,0
2024-11-07 03:32:00,75288.0,75291.98,75208.0,75208.01,11.02068,1730950379999,829265.4249914,3381,1.22293,92030.1491827,0
2024-11-07 03:33:00,75208.01,75227.17,75162.15,75177.98,27.90912,1730950439999,2098550.7000299,5191,9.41662,708035.4566914,0
2024-11-07 03:34:00,75177.99,75200.0,75160.55,75172.0,9.69547,1730950499999,728865.6517479,2791,3.88085,291747.3065452,0
2024-11-07 03:35:00,75172.0,75172.0,75079.9,75113.99,35.93917,1730950559999,2699949.1151285,3799,9.90884,744315.4210496,0
2024-11-07 03:36:00,75114.0,75160.0,75106.0,75151.15,22.05863,1730950619999,1657365.2421521,3846,12.59803,946519.0611477,0
2024-11-07 03:37:00,75151.15,75174.0,75140.0,75154.0,23.80638,1730950679999,1789148.7479533,2503,16.07338,1207941.4761766,0
2024-11-07 03:38:00,75154.01,75191.58,75148.2,75148.51,21.13363,1730950739999,1588424.0445561,2874,12.26075,921481.3982668,0
2024-11-07 03:39:00,75148.5,75148.51,75121.21,75124.15,26.62868,1730950799999,2000662.9273015,1924,20.48862,1539310.0701956,0
2024-11-07 03:40:00,75124.16,75186.0,75124.15,75136.3,14.36299,1730950859999,1079408.2504785,4057,8.77497,659434.9238197,0
2024-11-07 03:41:00,75136.3,75181.82,75128.0,75173.06,36.064,1730950919999,2710272.2285692,2938,18.24421,1371073.6896032,0
2024-11-07 03:42:00,75173.06,75173.07,75162.0,75173.05,5.6886,1730950979999,427597.591751,1024,3.70825,278732.0726406,0
2024-11-07 03:43:00,75173.05,75181.82,75162.31,75162.31,20.96763,1730951039999,1576157.7131806,2227,16.68428,1254162.5533121,0
2024-11-07 03:44:00,75162.31,75176.5,75162.31,75176.49,25.45015,1730951099999,1913098.2504832,1209,21.19827,1593485.8031114,0
2024-11-07 03:45:00,75176.5,75216.48,75176.49,75216.47,22.06981,1730951159999,1659578.0050251,2776,17.45958,1312876.7541238,0
2024-11-07 03:46:00,75216.47,75216.48,75196.0,75196.0,23.17443,1730951219999,1742685.9507396,1793,16.88016,1269340.2537859,0
2024-11-07 03:47:00,75196.0,75221.75,75191.6,75221.74,9.29196,1730951279999,698814.9503251,1693,6.7687,509050.2737586,0
2024-11-07 03:48:00,75221.75,75221.75,75159.9,75159.9,12.26979,1730951339999,922659.2195398,4453,2.90665,218615.5671549,0
2024-11-07 03:49:00,75159.9,75159.91,75142.66,75142.67,9.73949,1730951399999,731944.0271993,1694,3.88865,292246.1794268,0
2024-11-07 03:50:00,75142.67,75142.67,75121.21,75123.99,13.77888,1730951459999,1035154.1713441,1834,8.1991,615950.9259583,0
2024-11-07 03:51:00,75124.0,75124.0,75072.62,75072.63,13.39959,1730951519999,1006413.3415852,3112,1.57799,118524.9004246,0
2024-11-07 03:52:00,75072.62,75100.0,75064.0,75064.0,18.21652,1730951579999,1367697.1123905,2953,7.43515,558223.2323892,0
2024-11-07 03:53:00,75064.0,75064.01,75003.83,75050.0,38.98652,1730951639999,2925295.1003457,3834,14.4463,1083877.1447,0
2024-11-07 03:54:00,75050.0,75061.99,75046.0,75058.66,20.60945,1730951699999,1546845.9254611,1862,8.11839,609322.3642283,0
2024-11-07 03:55:00,75058.67,75058.67,75014.0,75024.26,11.85656,1730951759999,889610.7191451,3489,3.57379,268120.2750728,0
2024-11-07 03:56:00,75024.27,75028.0,75018.0,75022.16,14.00887,1730951819999,1050974.4858076,1801,5.60036,420151.2003166,0
2024-11-07 03:57:00,75022.17,75056.0,75022.01,75055.99,20.49691,1730951879999,1537967.163546,1485,11.80906,886059.9979357,0
2024-11-07 03:58:00,75055.99,75068.0,75049.4,75068.0,11.71252,1730951939999,879102.1148722,1447,5.11352,383800.2043747,0
2024-11-07 03:59:00,75068.0,75080.0,75048.0,75048.01,21.80501,1730951999999,1636884.0881673,1726,2.79266,209646.0830343,0
2024-11-07 04:00:00,75048.01,75048.01,75036.0,75036.0,34.74227,1730952059999,2607209.0130121,1515,10.42355,782218.2544058,0
2024-11-07 04:01:00,75036.01,75037.3,75019.9,75019.9,26.61032,1730952119999,1996636.5418955,1300,7.86928,590463.3148658,0
2024-11-07 04:02:00,75019.9,75019.91,74984.9,74984.9,85.10095,1730952179999,6382728.2533879,4127,6.89513,517196.1604053,0
2024-11-07 04:03:00,74984.9,75006.0,74914.0,74990.01,79.30614,1730952239999,5945483.6541873,8017,40.97567,3072116.7025965,0
2024-11-07 04:04:00,74990.02,74996.0,74928.01,74937.98,41.34026,1730952299999,3099233.7634767,5507,20.47533,1534911.6096965,0
